timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779804801.689,17926,5,1,15,27,7219200.0,388616.0,31.7,-17.6,0,1000,0,0,0,0,17,BUSINESS,2
1779804802.689,17922,9,1,17,27,137792.0,243200.0,30.3,-14.1,0,100,5,0,0,2,34,CRITICAL,0
1779804802.689,17924,13,1,22,10,502600.0,3606232.0,16.2,-34.2,0,157,1,0,0,2,48,PERFORMANCE,1
1779804802.689,17926,5,1,15,26,4645056.0,385408.0,27.2,-22.9,0,660,0,0,0,0,17,BUSINESS,2
1779804803.689,17922,8,1,15,27,104944.0,243200.0,30.4,-11.8,0,100,0,0,0,2,34,CRITICAL,0
1779804803.689,17924,13,1,22,0,155176.0,518448.0,2.7,-42.9,0,81,0,0,0,2,48,PERFORMANCE,1
1779804803.689,17926,5,1,15,27,5802680.0,513024.0,30.7,-17.4,0,809,0,0,0,0,17,BUSINESS,2
1779804804.689,17922,8,1,15,27,99808.0,243200.0,30.1,-11.6,0,100,1,0,0,2,34,CRITICAL,0
1779804804.689,17924,13,1,22,1,225608.0,1000088.0,4.2,-40.9,0,94,1,0,0,2,48,PERFORMANCE,1
1779804804.689,17926,5,1,15,27,6687368.0,512943.99999999994,31.5,-15.6,0,929,0,0,0,0,17,BUSINESS,2
1779804805.689,17922,8,1,15,27,96304.0,243200.0,32.8,-11.1,0,100,0,0,0,2,31,CRITICAL,0
1779804805.689,17924,12,1,21,0,176976.0,555224.0,1.5,-42.9,0,89,2,0,0,2,50,PERFORMANCE,1
1779804805.689,17926,5,1,15,27,5745416.0,511280.0,30.6,-15.1,0,805,0,0,0,0,18,BUSINESS,2
1779804806.689,17922,8,1,15,27,96768.0,243200.0,32.3,-11.4,0,100,0,0,0,2,31,CRITICAL,0
1779804806.689,17924,13,1,21,0,152456.0,497912.0,-0.8,-44.8,0,83,1,0,0,2,50,PERFORMANCE,1
1779804806.689,17926,5,1,15,27,7219200.0,381832.0,31.0,-15.2,0,1000,0,0,0,0,18,BUSINESS,2
1779804807.775,17922,8,1,15,27,96224.0,243200.0,32.5,-11.4,0,100,1,0,0,2,31,CRITICAL,0
1779804807.775,17924,13,1,21,0,160232.0,509208.0,-4.4,-45.6,0,82,1,0,0,2,50,PERFORMANCE,1
1779804807.775,17926,5,1,15,27,6468240.0,425616.0,32.8,-15.4,0,903,0,0,0,0,18,BUSINESS,2
1779804808.689,17922,8,1,15,27,95952.0,243200.0,32.4,-11.4,0,100,0,0,0,2,31,CRITICAL,0
1779804808.689,17924,13,1,21,0,152624.0,526448.0,-1.9,-45.4,0,78,1,0,0,2,50,PERFORMANCE,1
1779804808.689,17926,5,1,15,27,7219200.0,462496.0,32.7,-15.6,0,1000,0,0,0,0,18,BUSINESS,2
1779804809.69,17922,8,1,15,27,97200.0,243200.0,32.6,-11.5,0,100,1,0,0,2,31,CRITICAL,0
1779804809.69,17924,13,1,20,0,141000.0,525200.0,-0.4,-45.4,0,77,9,0,0,2,50,PERFORMANCE,1
1779804809.69,17926,5,1,15,27,6383248.0,475304.0,31.2,-16.1,0,890,0,0,0,0,18,BUSINESS,2
1779804810.689,17922,8,1,15,27,99104.0,243200.0,32.5,-11.5,0,100,0,0,0,2,31,CRITICAL,0
1779804810.689,17924,13,1,20,0,153824.0,497712.0,-2.2,-45.4,0,86,0,0,0,2,50,PERFORMANCE,1
1779804810.689,17926,5,1,15,27,7219200.0,379784.0,30.7,-16.6,0,1000,0,0,0,0,18,BUSINESS,2
1779804811.689,17922,8,1,16,27,104128.0,243200.0,32.5,-11.5,0,100,1,0,0,2,31,CRITICAL,0
1779804811.689,17924,13,1,20,0,149320.0,490352.0,1.1,-44.2,0,81,4,0,0,2,50,PERFORMANCE,1
1779804811.689,17926,5,1,15,27,6489552.0,440208.0,32.0,-16.2,0,905,0,0,0,0,18,BUSINESS,2
1779804812.689,17922,8,1,16,27,106128.0,243200.0,31.3,-11.5,0,100,0,0,0,2,31,CRITICAL,0
1779804812.689,17924,13,1,20,0,141424.0,487232.0,-1.7,-43.5,0,82,3,0,0,2,50,PERFORMANCE,1
1779804812.689,17926,5,1,15,27,7219200.0,441704.0,30.1,-17.8,0,1000,0,0,0,0,18,BUSINESS,2
1779804813.69,17922,8,1,16,27,105904.0,243200.0,32.3,-11.0,0,100,2,0,0,2,31,CRITICAL,0
1779804813.69,17924,13,1,19,2,282864.0,1536584.0,4.9,-41.1,0,116,0,0,0,2,50,PERFORMANCE,1
1779804813.69,17926,5,1,15,27,5599592.0,283136.0,30.4,-17.7,0,790,0,0,0,0,18,BUSINESS,2
1779804814.69,17922,8,1,16,27,108456.0,243200.0,29.7,-12.5,0,101,2,0,0,2,31,CRITICAL,0
1779804814.69,17924,13,1,20,4,406032.0,2296488.0,10.5,-38.2,0,144,0,0,0,2,50,PERFORMANCE,1
1779804814.69,17926,5,1,15,27,6303568.0,429880.0,30.9,-17.4,0,880,0,0,0,0,18,BUSINESS,2
1779804815.69,17922,8,1,16,27,108328.0,243200.0,29.2,-12.0,0,101,4,0,0,2,31,CRITICAL,0
1779804815.69,17924,13,1,20,9,337456.0,4703240.0,16.0,-33.8,0,163,0,0,0,2,50,PERFORMANCE,1
1779804815.69,17926,5,1,15,27,7219200.0,337152.0,29.5,-18.4,0,1000,0,0,0,0,18,BUSINESS,2
1779804816.689,17922,8,1,15,27,101568.0,243200.0,29.5,-12.4,0,100,0,0,0,2,31,CRITICAL,0
1779804816.689,17924,13,1,19,7,206416.0,3690352.0,13.9,-35.2,0,138,0,0,0,2,50,PERFORMANCE,1
1779804816.689,17926,5,1,15,27,6334168.0,516528.0,28.8,-19.4,0,885,0,0,0,0,18,BUSINESS,2
1779804817.69,17922,8,1,16,27,105088.0,243200.0,29.0,-12.4,0,100,2,0,0,2,31,CRITICAL,0
1779804817.69,17924,13,1,20,8,199928.0,4196528.0,14.5,-34.6,0,143,0,0,0,2,50,PERFORMANCE,1
1779804817.69,17926,5,1,15,27,7219200.0,341632.0,27.3,-20.2,0,1000,0,0,0,0,18,BUSINESS,2
1779804818.689,17922,9,1,16,27,108360.0,243200.0,29.3,-12.4,0,101,2,0,0,2,31,CRITICAL,0
1779804818.689,17924,13,1,21,9,207272.0,4415624.0,14.8,-34.5,0,141,0,0,0,2,50,PERFORMANCE,1
1779804818.689,17926,5,1,15,27,6540728.0,421160.0,27.8,-20.4,0,912,0,0,0,0,18,BUSINESS,2
1779804819.688,17922,8,1,16,27,104688.0,243200.0,29.3,-12.3,0,100,2,0,0,2,31,CRITICAL,0
1779804819.688,17924,13,1,21,10,219992.0,4986280.0,15.5,-34.5,0,151,0,0,0,2,50,PERFORMANCE,1
1779804819.688,17926,5,1,15,27,7219200.0,339200.0,29.4,-19.4,0,1000,0,0,0,0,18,BUSINESS,2
1779804820.689,17922,8,1,15,27,98608.0,243200.0,29.3,-12.4,0,100,2,0,0,2,31,CRITICAL,0
1779804820.689,17924,13,1,21,11,230848.0,5676368.0,15.8,-34.3,0,157,2,0,0,2,50,PERFORMANCE,1
1779804820.689,17926,5,1,15,27,6490232.0,401376.0,29.0,-19.2,0,904,0,0,0,0,18,BUSINESS,2
1779804821.688,17922,8,1,15,27,98240.0,243200.0,29.3,-12.4,0,100,0,0,0,2,31,CRITICAL,0
1779804821.688,17924,13,1,21,12,235184.0,6234480.0,16.2,-33.8,0,162,2,0,0,2,50,PERFORMANCE,1
1779804821.688,17926,5,1,15,27,7219200.0,343680.0,27.8,-20.3,0,1000,0,0,0,0,18,BUSINESS,2
1779804822.69,17922,8,1,15,27,102608.0,243200.0,29.5,-12.3,0,100,0,0,0,2,31,CRITICAL,0
1779804822.69,17924,13,1,21,12,226008.0,6221456.0,16.2,-33.9,0,155,0,0,0,2,50,PERFORMANCE,1
1779804822.69,17926,5,1,15,27,6497192.0,408072.0,28.9,-20.3,0,908,0,0,0,0,18,BUSINESS,2
1779804823.689,17922,9,1,16,27,109224.0,243200.0,29.5,-12.6,0,103,1,0,0,2,31,CRITICAL,0
1779804823.689,17924,13,1,21,13,236864.0,6676968.0,16.5,-33.7,0,164,2,0,0,2,50,PERFORMANCE,1
1779804823.689,17926,5,1,15,27,5595416.0,278272.0,28.8,-20.6,0,787,0,0,0,0,18,BUSINESS,2
1779804824.689,17922,8,1,15,27,99248.0,243200.0,29.7,-12.9,0,102,2,0,0,2,31,CRITICAL,0
1779804824.689,17924,13,1,20,14,229960.0,7111400.0,17.6,-32.7,0,161,2,0,0,2,50,PERFORMANCE,1
1779804824.689,17926,5,1,15,27,6358888.0,421640.0,28.7,-20.1,0,887,0,0,0,0,18,BUSINESS,2
1779804825.689,17922,8,1,15,27,101936.0,245120.0,29.3,-13.0,0,104,2,0,0,2,31,CRITICAL,0
1779804825.689,17924,12,1,19,13,215472.0,6571424.0,16.8,-33.3,0,158,0,0,0,2,50,PERFORMANCE,1
1779804825.689,17926,5,1,15,27,7219200.0,343936.0,28.7,-20.1,0,1000,0,0,0,0,18,BUSINESS,2
1779804826.693,17922,8,1,15,27,104920.0,243200.0,29.2,-12.9,0,105,0,0,0,2,31,CRITICAL,0
1779804826.693,17924,13,1,20,13,220952.0,6598872.0,16.9,-33.3,0,155,0,0,0,2,50,PERFORMANCE,1
1779804826.693,17926,5,1,15,27,6692744.0,407864.0,28.9,-20.0,0,930,0,0,0,0,18,BUSINESS,2
1779804827.689,17922,8,1,15,27,105744.0,243200.0,29.2,-12.9,0,105,1,0,0,2,31,CRITICAL,0
1779804827.689,17924,13,1,20,13,224256.0,6791360.0,17.1,-33.2,0,160,1,0,0,2,50,PERFORMANCE,1
1779804827.689,17926,5,1,15,27,7219200.0,339200.0,28.4,-20.1,0,1000,0,0,0,0,18,BUSINESS,2
1779804828.689,17922,8,1,15,27,104728.0,243200.0,29.2,-12.9,0,105,1,0,0,2,31,CRITICAL,0
1779804828.689,17924,13,1,21,14,234592.0,7165976.0,17.3,-33.0,0,158,0,0,0,2,50,PERFORMANCE,1
1779804828.689,17926,5,1,15,27,6856152.0,458640.0,29.3,-19.8,0,952,0,0,0,0,18,BUSINESS,2
1779804829.694,17922,8,1,15,27,105904.0,243200.0,29.0,-12.9,0,104,1,0,0,2,31,CRITICAL,0
